site,lat,long,pred.num,pred.level
Matanzas,30.106444,-81.36302,2,medium
Field,31.34312,-81.24135,2,medium
Kenan,31.473036,-81.268154,2,medium
Pump,31.4654,-81.2543,3,high
MP,31.453884,-81.23634,3,high
Miller,31.472526,-81.229161,3,high
GTM,30.038834,-81.347459,2,medium
Guana,29.50213,-81.2543,3,high
Guana2,29.700861,-81.237875,3,high
Marsh Landing,31.417242,-81.291735,1,low
FB,30.418567,-81.425153,2,medium
Faver-Dykes,29.681926,-81.234989,2,medium
Townsend,31.433806,-81.30221,1,low
Gracie,31.401906,-81.288345,1,low